Entity,Code,Day,75+_start,75-79_start,60-64_start,0-17_start,80+_start,65-69_start,70-74_start,18-24_start,65-74_start,45-54_start,50-54_start,55-59_start,50-59_start,35-44_start,18-29_start,70-79_start,25-49_start,25-34_start,60-69_start,30-39_start,40-49_start,55-64_start,12-17_start
Peru,PER,2021-07-26,,,,0.03,81.63,,,4.79,,,,,67.34,,,79.76,19.23,,77.56,,,,
Peru,PER,2021-08-02,,,,0.03,82.04,,,5.28,,,,,69.96,,,80.34,23.61,,78.41,,,,
Peru,PER,2021-08-09,,,,0.04,82.45,,,5.64,,,,,71.71,,,80.92,26.73,,79.14,,,,
Peru,PER,2021-08-16,,,,0.06,82.86,,,5.89,,,,,73.07,,,81.5,29.43,,79.87,,,,
Peru,PER,2021-08-23,,,,0.08,83.14,,,6.15,,,,,74.01,,,81.86,31.63,,80.38,,,,
Peru,PER,2021-02-08,,,,,0,,,0.04,,,,,0.56,,,0.01,0.64,,0.32,,,,
Poland,POL,2021-01-01,,,,,0,,,0,,,,,0.01,,,0,0.01,,0.01,,,,
Poland,POL,2021-01-08,,,,,0.13,,,0.32,,,,,1.37,,,0.25,0.7,,0.66,,,,
Poland,POL,2021-01-15,,,,,0.29,,,1.13,,,,,2.91,,,0.55,1.61,,1.44,,,,
Poland,POL,2021-01-22,,,,,2.47,,,1.5,,,,,3.67,,,1.21,2.07,,2.01,,,,
Poland,POL,2021-01-29,,,,,13.21,,,1.84,,,,,4.19,,,2.45,2.44,,2.34,,,,
Poland,POL,2021-02-05,,,,,21.64,,,1.97,,,,,4.34,,,4.7,2.56,,2.53,,,,
Poland,POL,2021-02-12,,,,,28.29,,,2.09,,,,,4.64,,,8.47,2.76,,2.8,,,,
Poland,POL,2021-02-19,,,,,32.6,,,2.22,,,,,5.57,,,12.08,3.3,,3.09,,,,
Poland,POL,2021-02-26,,,,,36.17,,,2.32,,,,,6.81,,,16.29,4,,3.61,,,,
Poland,POL,2021-03-05,,,,,39.22,,,2.44,,,,,8.11,,,20.96,4.81,,4.29,,,,
Poland,POL,2021-03-12,,,,,42.44,,,2.87,,,,,8.74,,,26.8,5.31,,5.09,,,,
Poland,POL,2021-03-19,,,,,45.08,,,3.18,,,,,9.08,,,32.61,5.56,,6.07,,,,
Poland,POL,2021-03-26,,,,,47.79,,,3.35,,,,,9.63,,,39.56,5.91,,12.69,,,,
Poland,POL,2021-04-02,,,,,49.92,,,3.59,,,,,10.55,,,45.72,6.49,,19.84,,,,
Poland,POL,2021-04-09,,,,,52.41,,,3.94,,,,,13.16,,,54.75,7.29,,28.8,,,,
Poland,POL,2021-04-16,,,,,54.25,,,4.28,,,,,17.53,,,61.64,8.11,,37.74,,,,
Poland,POL,2021-04-23,,,,,55.85,,,4.72,,,,,25.94,,,67.08,9.36,,45.27,,,,
Poland,POL,2021-04-30,,,,,57.09,,,5.31,,,,,32.6,,,71.02,12.97,,51.21,,,,
Poland,POL,2021-05-07,,,,,57.83,,,6.94,,,,,37.55,,,72.87,18.49,,54.63,,,,
Poland,POL,2021-05-14,,,,,58.43,,,12.28,,,,,41.42,,,74.2,24.14,,57.14,,,,
Poland,POL,2021-05-21,,,,,58.98,,,17.49,,,,,45.23,,,75.42,28.8,,59.55,,,,
Poland,POL,2021-05-28,,,,,59.47,,,21.3,,,,,48.07,,,76.44,32.22,,61.32,,,,
Poland,POL,2021-06-04,,,,,60,,,26.58,,,,,50.7,,,77.51,35.95,,63.11,,,,
Poland,POL,2021-06-11,,,,,60.56,,,30.69,,,,,53.05,,,78.51,39.14,,64.7,,,,
Poland,POL,2021-06-18,,,,,61.01,,,33.48,,,,,54.7,,,79.27,41.34,,65.87,,,,
Poland,POL,2021-06-25,,,,,61.37,,,35.52,,,,,55.94,,,79.87,42.97,,66.78,,,,
Poland,POL,2021-07-02,,,,,61.7,,,37.23,,,,,57.05,,,80.44,44.36,,67.61,,,,
Poland,POL,2021-07-09,,,,,61.95,,,38.52,,,,,57.87,,,80.83,45.42,,68.18,,,,
Poland,POL,2021-07-16,,,,,62.24,,,39.79,,,,,58.74,,,81.25,46.5,,68.78,,,,
Poland,POL,2021-07-23,,,,,62.52,,,40.96,,,,,59.54,,,81.65,47.51,,69.33,,,,
Poland,POL,2021-07-30,,,,,62.81,,,42.13,,,,,60.34,,,82.04,48.54,,69.87,,,,
Poland,POL,2021-08-06,,,,,63.05,,,43.16,,,,,61.05,,,82.36,49.46,,70.33,,,,
Poland,POL,2021-08-13,,,,,63.28,,,44.07,,,,,61.69,,,82.67,50.26,,70.75,,,,
Poland,POL,2021-08-20,,,,,63.46,,,44.84,,,,,62.2,,,82.9,50.94,,71.08,,,,
Poland,POL,2021-08-27,,,,,63.51,,,45.09,,,,,62.35,,,82.98,51.15,,71.18,,,,
Portugal,PRT,2021-01-08,,,,,0.6,,,0.41,,,,,1.11,,,0.12,1.53,,0.6,,,,
Portugal,PRT,2021-01-15,,,,,2.74,,,0.59,,,,,1.68,,,0.49,2.03,,1,,,,
Portugal,PRT,2021-01-22,,,,,8.52,,,1.09,,,,,3.02,,,1.49,3.14,,1.9,,,,
Portugal,PRT,2021-01-29,,,,,9.61,,,1.26,,,,,3.54,,,1.93,3.61,,2.3,,,,
Portugal,PRT,2021-02-05,,,,,10.28,,,1.39,,,,,3.81,,,2.1,3.91,,2.5,,,,
Portugal,PRT,2021-02-12,,,,,12.47,,,1.58,,,,,4.16,,,2.39,4.32,,2.71,,,,
Portugal,PRT,2021-02-19,,,,,19.66,,,1.87,,,,,5.04,,,2.69,4.98,,3.8,,,,
Portugal,PRT,2021-02-26,,,,,34.84,,,2.04,,,,,6.91,,,3.26,5.33,,5.96,,,,
Portugal,PRT,2021-03-05,,,,,47.74,,,2.16,,,,,8.1,,,4.06,5.55,,7.33,,,,
Portugal,PRT,2021-03-12,,,,,53.67,,,2.34,,,,,9.03,,,5.25,6.04,,8.3,,,,
Portugal,PRT,2021-03-19,,,,,61.72,,,2.37,,,,,9.23,,,6.85,6.17,,8.6,,,,
Portugal,PRT,2021-03-26,,,,,80.14,,,2.78,,,,,10.87,,,11.29,7.43,,10.08,,,,
Portugal,PRT,2021-04-02,,,,,85.58,,,2.85,,,,,11.2,,,18.42,7.56,,11.71,,,,
Portugal,PRT,2021-04-09,,,,,90.07,,,2.95,,,,,11.81,,,35.19,7.83,,15,,,,
Portugal,PRT,2021-04-16,,,,,91.63,,,3.5,,,,,16.01,,,54.09,10.48,,20.68,,,,
Portugal,PRT,2021-04-23,,,,,92.87,,,3.67,,,,,16.46,,,67.06,10.81,,25.02,,,,
Portugal,PRT,2021-04-30,,,,,93.79,,,4.01,,,,,17.12,,,82.87,11.14,,37.51,,,,
Portugal,PRT,2021-05-07,,,,,94.56,,,4.25,,,,,18.13,,,90.22,11.45,,58.97,,,,
Portugal,PRT,2021-05-14,,,,,95.15,,,4.54,,,,,21.14,,,93.75,12.2,,74.09,,,,
Portugal,PRT,2021-05-21,,,,,95.92,,,4.81,,,,,30.91,,,95.86,13.17,,83.6,,,,
Portugal,PRT,2021-05-28,,,,,96.65,,,5.1,,,,,43.02,,,97.31,13.95,,87.71,,,,
Portugal,PRT,2021-06-04,,,,,97.19,,,5.39,,,,,55.31,,,98.57,15.22,,91.01,,,,
Portugal,PRT,2021-06-11,,,,,97.65,,,5.75,,,,,69.76,,,99.56,19.09,,93.1,,,,
Portugal,PRT,2021-06-18,,,,,98.08,,,6.16,,,,,75.93,,,100.23,26.74,,94.38,,,,
Portugal,PRT,2021-06-25,,,,,98.65,,,6.58,,,,,82.14,,,100.9,35.62,,95.61,,,,
Portugal,PRT,2021-07-02,,,,,99.19,,,6.89,,,,,86.06,,,101.5,45.49,,96.59,,,,
Portugal,PRT,2021-07-09,,,,,99.64,,,8.59,,,,,88.86,,,102.01,57.28,,97.42,,,,
Portugal,PRT,2021-07-16,,,,,100.02,,,11.19,,,,,90.3,,,102.45,66.29,,98.09,,,,
Portugal,PRT,2021-07-23,,,,,100.44,,,15.91,,,,,91.86,,,103,72.16,,98.92,,,,
Portugal,PRT,2021-07-30,,,,,100.9,,,21.09,,,,,93.21,,,103.61,75.85,,99.79,,,,
Portugal,PRT,2021-08-06,,,,,101.33,,,34.18,,,,,94.38,,,104.15,78.95,,100.54,,,,
Portugal,PRT,2021-08-13,,,,,101.62,,,54.41,,,,,95.36,,,104.5,82.79,,101.03,,,,
Portugal,PRT,2021-08-20,,,,,101.86,,,73.7,,,,,96.17,,,104.79,86.38,,101.42,,,,
Portugal,PRT,2021-08-27,,,,,102,,,80.06,,,,,96.64,,,104.96,88.27,,101.64,,,,
Romania,ROU,2021-05-28,,,,,17.79,,,19.44,,,,,31.55,,,33.25,24.52,,34.43,,,,
Romania,ROU,2021-06-04,,,,,18.12,,,20.47,,,,,32.48,,,33.86,25.38,,35.18,,,,
Romania,ROU,2021-06-11,,,,,18.43,,,21.25,,,,,33.27,,,34.42,26.11,,35.82,,,,
Romania,ROU,2021-06-18,,,,,18.66,,,21.8,,,,,33.79,,,34.79,26.61,,36.25,,,,
Romania,ROU,2021-06-25,,,,,18.84,,,22.25,,,,,34.23,,,35.11,27.03,,36.61,,,,
Romania,ROU,2021-07-02,,,,,19.02,,,22.7,,,,,34.64,,,35.38,27.44,,36.94,,,,
Romania,ROU,2021-07-09,,,,,19.17,,,23.17,,,,,35.05,,,35.63,27.86,,37.25,,,,
Romania,ROU,2021-07-16,,,,,19.3,,,23.61,,,,,35.42,,,35.85,28.26,,37.52,,,,
Romania,ROU,2021-07-23,,,,,19.43,,,24.08,,,,,35.84,,,36.09,28.74,,37.81,,,,
Romania,ROU,2021-07-30,,,,,19.55,,,24.55,,,,,36.26,,,36.29,29.22,,38.08,,,,
Romania,ROU,2021-08-06,,,,,19.67,,,25.04,,,,,36.69,,,36.47,29.72,,38.33,,,,
Romania,ROU,2021-08-13,,,,,19.76,,,25.47,,,,,37.06,,,36.62,30.17,,38.53,,,,
Romania,ROU,2021-08-20,,,,,19.84,,,25.91,,,,,37.4,,,36.76,30.61,,38.72,,,,
Slovakia,SVK,2021-01-08,,,,,0.09,,,0.35,,,,,1.03,,,0.25,0.75,,0.63,,,,
Slovakia,SVK,2021-01-15,,,,,0.19,,,0.83,,,,,2.16,,,0.51,1.58,,1.34,,,,
Slovakia,SVK,2021-01-22,,,,,0.75,,,1.48,,,,,3.3,,,0.89,2.41,,2.01,,,,
Slovakia,SVK,2021-01-29,,,,,8.34,,,1.96,,,,,3.86,,,2.85,2.83,,2.54,,,,
Slovakia,SVK,2021-02-05,,,,,16.08,,,2.2,,,,,4.14,,,8.27,3.04,,2.95,,,,
Slovakia,SVK,2021-02-12,,,,,21.49,,,2.64,,,,,4.92,,,11.98,3.77,,3.49,,,,
Slovakia,SVK,2021-02-19,,,,,23.5,,,2.92,,,,,6,,,13.5,4.51,,4.29,,,,
Slovakia,SVK,2021-02-26,,,,,25.23,,,3.3,,,,,6.89,,,14.68,5.49,,4.65,,,,
Slovakia,SVK,2021-03-05,,,,,25.95,,,3.87,,,,,8.55,,,15.11,6.86,,5.47,,,,
Slovakia,SVK,2021-03-12,,,,,27.14,,,4.03,,,,,9.08,,,19.12,7.2,,11.06,,,,
Slovakia,SVK,2021-03-19,,,,,30.35,,,4.39,,,,,10.32,,,30.56,7.71,,16.22,,,,
Slovakia,SVK,2021-03-26,,,,,36.88,,,4.79,,,,,12.65,,,42.41,8.3,,19.74,,,,
Slovakia,SVK,2021-04-02,,,,,38.9,,,5.09,,,,,15.52,,,49.1,8.78,,25.05,,,,
Slovakia,SVK,2021-04-09,,,,,40.29,,,5.47,,,,,21.03,,,52.39,9.58,,30.35,,,,
Slovakia,SVK,2021-04-16,,,,,41.53,,,5.77,,,,,23.98,,,54.57,11.42,,33.96,,,,
Slovakia,SVK,2021-04-23,,,,,42.52,,,6.1,,,,,25.78,,,56.11,12.7,,36.76,,,,
Slovakia,SVK,2021-04-30,,,,,43.74,,,6.74,,,,,27.22,,,58.21,14.28,,41.2,,,,
Slovakia,SVK,2021-05-07,,,,,45.14,,,8.04,,,,,30.74,,,60.31,16.38,,46.18,,,,
Slovakia,SVK,2021-05-14,,,,,46.3,,,9.31,,,,,36.58,,,61.92,19.39,,51.27,,,,
Slovakia,SVK,2021-05-21,,,,,47.36,,,12.11,,,,,39.85,,,63.51,24.25,,53.78,,,,
Slovakia,SVK,2021-05-28,,,,,48.11,,,15.2,,,,,42.63,,,64.61,28.87,,55.42,,,,
Slovakia,SVK,2021-06-04,,,,,48.75,,,19.22,,,,,43.98,,,65.42,31.79,,56.49,,,,
Slovakia,SVK,2021-06-11,,,,,49.33,,,22,,,,,45.17,,,66.1,33.45,,57.31,,,,
Slovakia,SVK,2021-06-18,,,,,49.81,,,24.89,,,,,46.17,,,66.74,34.73,,58.18,,,,
Slovakia,SVK,2021-06-25,,,,,50.3,,,26.89,,,,,46.98,,,67.31,35.84,,58.9,,,,
Slovakia,SVK,2021-07-02,,,,,50.73,,,29.96,,,,,48.2,,,67.89,37.37,,59.68,,,,
Slovakia,SVK,2021-07-09,,,,,51.04,,,32.83,,,,,49.46,,,68.32,39,,60.32,,,,
Slovakia,SVK,2021-07-16,,,,,51.4,,,35.13,,,,,50.55,,,68.76,40.44,,60.93,,,,
Slovakia,SVK,2021-07-23,,,,,51.69,,,36.58,,,,,51.25,,,69.13,41.25,,61.41,,,,
Slovakia,SVK,2021-07-30,,,,,51.96,,,37.71,,,,,51.87,,,69.43,41.94,,61.81,,,,
Slovakia,SVK,2021-08-06,,,,,52.29,,,38.76,,,,,52.57,,,69.82,42.64,,62.29,,,,
Slovakia,SVK,2021-08-13,,,,,52.53,,,39.65,,,,,53.14,,,70.13,43.25,,62.65,,,,
Slovakia,SVK,2021-08-20,,,,,52.76,,,40.68,,,,,53.68,,,70.41,43.88,,62.99,,,,
Slovakia,SVK,2021-08-27,,,,,52.81,,,40.94,,,,,53.79,,,70.48,44.02,,63.08,,,,
Slovenia,SVN,2021-01-01,,,,,3.13,,,0.01,,,,,0.17,,,0.57,0.07,,0.2,,,,
Slovenia,SVN,2021-01-08,,,,,4.77,,,0.44,,,,,2.33,,,1.27,1.65,,1.17,,,,
Slovenia,SVN,2021-01-15,,,,,15.12,,,0.68,,,,,2.88,,,1.91,2.08,,1.48,,,,
Slovenia,SVN,2021-01-22,,,,,16.87,,,0.75,,,,,3.1,,,2.05,2.25,,1.56,,,,
Slovenia,SVN,2021-01-29,,,,,17.19,,,0.81,,,,,3.18,,,2.1,2.32,,1.6,,,,
Slovenia,SVN,2021-02-05,,,,,17.83,,,0.84,,,,,3.22,,,2.12,2.36,,1.62,,,,
Slovenia,SVN,2021-02-12,,,,,29.18,,,1.32,,,,,3.51,,,2.44,2.63,,1.76,,,,
Slovenia,SVN,2021-02-19,,,,,42.34,,,1.72,,,,,3.87,,,4.47,2.84,,2.17,,,,
Slovenia,SVN,2021-02-26,,,,,49.59,,,1.85,,,,,4.56,,,11.52,3.06,,3.28,,,,
Slovenia,SVN,2021-03-05,,,,,51.92,,,2.05,,,,,5.66,,,16.88,3.35,,4.94,,,,
Slovenia,SVN,2021-03-12,,,,,53.17,,,2.32,,,,,8.54,,,18.31,4.57,,8.17,,,,
Slovenia,SVN,2021-03-19,,,,,54.57,,,2.35,,,,,8.94,,,21.56,4.76,,8.44,,,,
Slovenia,SVN,2021-03-26,,,,,56.67,,,2.73,,,,,11.32,,,33,5.97,,10.95,,,,
Slovenia,SVN,2021-04-02,,,,,57.94,,,2.88,,,,,12.61,,,50.36,6.73,,15.23,,,,
Slovenia,SVN,2021-04-09,,,,,58.91,,,2.94,,,,,12.97,,,57.01,6.83,,28.73,,,,
Slovenia,SVN,2021-04-16,,,,,59.69,,,3.01,,,,,13.55,,,60.49,7.02,,37.27,,,,
Slovenia,SVN,2021-04-23,,,,,60.42,,,5.73,,,,,16.5,,,62.46,7.94,,41.99,,,,
Slovenia,SVN,2021-04-30,,,,,61,,,5.94,,,,,17.92,,,63.72,8.22,,45.13,,,,
Slovenia,SVN,2021-05-07,,,,,62.04,,,6.29,,,,,28.85,,,65.76,9.43,,49.09,,,,
Slovenia,SVN,2021-05-14,,,,,63.22,,,7.84,,,,,35.74,,,67.66,14.01,,52.4,,,,
Slovenia,SVN,2021-05-21,,,,,64.32,,,11.91,,,,,40.04,,,69.36,19.71,,54.96,,,,
Slovenia,SVN,2021-05-28,,,,,65.36,,,13.4,,,,,42.92,,,70.74,21.45,,57.08,,,,
Slovenia,SVN,2021-06-04,,,,,66.39,,,18.11,,,,,46.61,,,71.94,26.1,,59,,,,
Slovenia,SVN,2021-06-11,,,,,67.2,,,22.87,,,,,48.72,,,72.82,30.05,,60.27,,,,
Slovenia,SVN,2021-06-18,,,,,67.77,,,25.86,,,,,49.92,,,73.54,31.94,,61.19,,,,
Slovenia,SVN,2021-06-25,,,,,68.11,,,27.21,,,,,50.65,,,74.02,32.77,,61.81,,,,
Slovenia,SVN,2021-07-02,,,,,68.5,,,28.52,,,,,51.4,,,74.55,33.57,,62.47,,,,
Slovenia,SVN,2021-07-09,,,,,69.03,,,29.75,,,,,52.45,,,75.41,34.54,,63.49,,,,
Slovenia,SVN,2021-07-16,,,,,69.6,,,31.43,,,,,53.97,,,76.34,35.97,,64.7,,,,
Slovenia,SVN,2021-07-23,,,,,70.14,,,33.27,,,,,55.4,,,77.24,37.38,,65.82,,,,
Slovenia,SVN,2021-07-30,,,,,70.65,,,35.05,,,,,56.75,,,78.08,38.68,,66.88,,,,
Slovenia,SVN,2021-08-06,,,,,71.14,,,36.41,,,,,57.76,,,78.84,39.69,,67.73,,,,
Slovenia,SVN,2021-08-13,,,,,71.58,,,37.66,,,,,58.56,,,79.43,40.51,,68.38,,,,
Slovenia,SVN,2021-08-20,,,,,72.32,,,39.13,,,,,59.5,,,80.21,41.39,,69.13,,,,
Spain,ESP,2021-01-08,,,,,4.67,,,0.29,,,,,1.03,,,0.71,0.81,,0.81,,,,
Spain,ESP,2021-01-15,,,,,6.99,,,0.75,,,,,2.71,,,1.08,2.17,,2.05,,,,
Spain,ESP,2021-01-22,,,,,7.74,,,1.03,,,,,3.63,,,1.22,2.88,,2.72,,,,
Spain,ESP,2021-01-29,,,,,8.04,,,1.15,,,,,3.94,,,1.27,3.12,,2.94,,,,
Spain,ESP,2021-02-05,,,,,8.34,,,1.27,,,,,4.18,,,1.33,3.32,,3.1,,,,
Spain,ESP,2021-02-12,,,,,8.97,,,1.55,,,,,4.79,,,1.41,3.91,,3.48,,,,
Spain,ESP,2021-02-19,,,,,14.25,,,2.09,,,,,5.68,,,1.65,4.76,,4,,,,
Spain,ESP,2021-02-26,,,,,25.47,,,2.73,,,,,6.82,,,2.16,6.18,,4.55,,,,
Spain,ESP,2021-03-05,,,,,39.06,,,3.23,,,,,7.93,,,2.67,7.72,,4.91,,,,
Spain,ESP,2021-03-12,,,,,48.25,,,3.84,,,,,9.18,,,2.98,9.07,,5.1,,,,
Spain,ESP,2021-03-19,,,,,54.63,,,4,,,,,9.39,,,3.16,9.29,,5.21,,,,
Spain,ESP,2021-03-26,,,,,64.47,,,4.73,,,,,10.95,,,3.49,10.35,,8.07,,,,
Spain,ESP,2021-04-02,,,,,79.58,,,5.1,,,,,11.89,,,5.06,10.97,,14.75,,,,
Spain,ESP,2021-04-09,,,,,94.73,,,5.41,,,,,12.42,,,19.68,11.27,,26.92,,,,
Spain,ESP,2021-04-16,,,,,98.39,,,5.5,,,,,12.71,,,44.1,11.42,,37.53,,,,
Spain,ESP,2021-04-23,,,,,99.81,,,5.61,,,,,13.07,,,65.21,11.6,,45.58,,,,
Spain,ESP,2021-04-30,,,,,100.6,,,5.74,,,,,13.41,,,83.74,11.78,,55.77,,,,
Spain,ESP,2021-05-07,,,,,101.11,,,5.96,,,,,15.91,,,92.51,12.04,,74.93,,,,
Spain,ESP,2021-05-14,,,,,101.5,,,6.27,,,,,27.25,,,95.17,12.51,,84.58,,,,
Spain,ESP,2021-05-21,,,,,101.77,,,6.69,,,,,43.59,,,96.32,13.02,,87.87,,,,
Spain,ESP,2021-05-28,,,,,101.96,,,6.94,,,,,59.07,,,96.99,13.48,,89.6,,,,
Spain,ESP,2021-06-04,,,,,102.1,,,7.23,,,,,75.68,,,97.35,15.29,,90.9,,,,
Spain,ESP,2021-06-11,,,,,102.23,,,7.53,,,,,83.82,,,97.62,22.32,,92.07,,,,
Spain,ESP,2021-06-18,,,,,102.32,,,7.86,,,,,86.66,,,97.8,31.61,,93.15,,,,
Spain,ESP,2021-06-25,,,,,102.39,,,8.29,,,,,88.06,,,97.93,40.47,,93.85,,,,
Spain,ESP,2021-07-02,,,,,102.46,,,9.64,,,,,89.27,,,98.07,49.7,,94.54,,,,
Spain,ESP,2021-07-09,,,,,102.52,,,13.6,,,,,90.1,,,98.17,56.95,,95.12,,,,
Spain,ESP,2021-07-16,,,,,102.57,,,20.01,,,,,90.76,,,98.26,63.43,,95.66,,,,
Spain,ESP,2021-07-23,,,,,102.62,,,29.67,,,,,91.38,,,98.34,68.85,,96.09,,,,
Spain,ESP,2021-07-30,,,,,102.67,,,42.79,,,,,91.83,,,98.41,73.26,,96.45,,,,
Spain,ESP,2021-08-06,,,,,102.71,,,54.79,,,,,92.28,,,98.48,76.23,,96.81,,,,
Spain,ESP,2021-08-13,,,,,102.76,,,66.87,,,,,92.72,,,98.55,77.98,,97.15,,,,
Spain,ESP,2021-08-20,,,,,102.8,,,71.47,,,,,93.15,,,98.62,79.18,,97.52,,,,
Spain,ESP,2021-08-27,,,,,102.82,,,72.7,,,,,93.3,,,98.64,79.66,,97.62,,,,
Sweden,SWE,2021-01-01,,,,,0.3,,,0,,,,,0.01,,,0.04,0,,0.01,,,,
Sweden,SWE,2021-01-08,,,,,5.46,,,0.07,,,,,0.33,,,0.87,0.16,,0.36,,,,
Sweden,SWE,2021-01-15,,,,,10.65,,,0.32,,,,,1.24,,,1.81,0.72,,1.14,,,,
Sweden,SWE,2021-01-22,,,,,15.79,,,0.79,,,,,2.64,,,2.92,1.63,,2.33,,,,
Sweden,SWE,2021-01-29,,,,,18.87,,,1.12,,,,,3.53,,,3.61,2.18,,3.09,,,,
Sweden,SWE,2021-02-05,,,,,21.43,,,1.31,,,,,4.04,,,4.21,2.49,,3.57,,,,
Sweden,SWE,2021-02-12,,,,,24.59,,,1.53,,,,,4.51,,,4.85,2.8,,4.02,,,,
Sweden,SWE,2021-02-19,,,,,28.46,,,1.96,,,,,5.32,,,5.8,3.34,,4.69,,,,
Sweden,SWE,2021-02-26,,,,,35.13,,,2.51,,,,,6.38,,,7.06,4.07,,5.63,,,,
Sweden,SWE,2021-03-05,,,,,44.69,,,3.24,,,,,7.99,,,8.73,5.29,,6.98,,,,
Sweden,SWE,2021-03-12,,,,,59.86,,,3.92,,,,,9.3,,,11.57,6.32,,8.32,,,,
Sweden,SWE,2021-03-19,,,,,72.06,,,4.07,,,,,9.62,,,15.05,6.54,,8.83,,,,
Sweden,SWE,2021-03-26,,,,,81.91,,,4.17,,,,,9.82,,,21.46,6.66,,9.33,,,,
Sweden,SWE,2021-04-02,,,,,88.02,,,4.25,,,,,9.99,,,36.3,6.76,,10.3,,,,
Sweden,SWE,2021-04-09,,,,,90.57,,,4.35,,,,,10.16,,,56.36,6.87,,13.24,,,,
Sweden,SWE,2021-04-16,,,,,92.09,,,4.51,,,,,10.52,,,79.04,7.09,,27.87,,,,
Sweden,SWE,2021-04-23,,,,,92.78,,,4.94,,,,,12.31,,,88.75,7.64,,51.09,,,,
Sweden,SWE,2021-04-30,,,,,93.17,,,5.7,,,,,18.78,,,91.51,8.68,,70.6,,,,
Sweden,SWE,2021-05-07,,,,,93.48,,,6.77,,,,,30.19,,,92.58,10.65,,80.18,,,,
Sweden,SWE,2021-05-14,,,,,93.7,,,7.8,,,,,42.24,,,93.22,12.63,,83.65,,,,
Sweden,SWE,2021-05-21,,,,,93.95,,,8.66,,,,,53.68,,,93.7,14.71,,85.24,,,,
Sweden,SWE,2021-05-28,,,,,94.07,,,9.39,,,,,61.27,,,94.11,16.96,,86.16,,,,
Sweden,SWE,2021-06-04,,,,,94.19,,,9.99,,,,,68.91,,,94.45,19.86,,87.02,,,,
Sweden,SWE,2021-06-11,,,,,94.29,,,10.69,,,,,75.46,,,94.74,24.74,,87.83,,,,
Sweden,SWE,2021-06-18,,,,,94.38,,,11.5,,,,,79.89,,,94.98,31.36,,88.46,,,,
Sweden,SWE,2021-06-25,,,,,94.45,,,12.31,,,,,82.34,,,95.18,38.47,,88.96,,,,
Sweden,SWE,2021-07-02,,,,,94.52,,,15.35,,,,,84.04,,,95.36,48.89,,89.4,,,,
Sweden,SWE,2021-07-09,,,,,94.58,,,24.72,,,,,84.97,,,95.5,57.34,,89.72,,,,
Sweden,SWE,2021-07-16,,,,,94.63,,,39.27,,,,,85.7,,,95.6,63.49,,89.98,,,,
Sweden,SWE,2021-07-23,,,,,94.67,,,50.19,,,,,86.29,,,95.69,67.28,,90.22,,,,
Sweden,SWE,2021-07-30,,,,,94.71,,,55.94,,,,,86.76,,,95.79,69.49,,90.43,,,,
Sweden,SWE,2021-08-06,,,,,94.74,,,59.03,,,,,87.16,,,95.88,71.09,,90.63,,,,
Sweden,SWE,2021-08-13,,,,,94.78,,,61.45,,,,,87.53,,,95.96,72.49,,90.8,,,,
Sweden,SWE,2021-08-20,,,,,94.82,,,63.63,,,,,87.88,,,96.04,73.71,,90.95,,,,
Sweden,SWE,2021-08-27,,,,,94.83,,,64.29,,,,,87.98,,,96.06,74.06,,91,,,,
Uruguay,URY,2021-02-27,0,,,,,,,0.01,0,0.02,,,,0.03,,,,0.02,,,,0.01,0
Uruguay,URY,2021-02-28,0,,,,,,,0.01,0,0.02,,,,0.03,,,,0.02,,,,0.01,0
Uruguay,URY,2021-03-01,0,,,,,,,0.32,0,1.13,,,,1.29,,,,0.88,,,,0.43,0
Uruguay,URY,2021-03-02,0,,,,,,,0.65,0,1.95,,,,2.3,,,,1.63,,,,0.74,0
Uruguay,URY,2021-03-03,0,,,,,,,1.13,0,3.15,,,,3.78,,,,2.71,,,,1.18,0
Uruguay,URY,2021-03-04,0,,,,,,,1.35,0,3.64,,,,4.37,,,,3.21,,,,1.35,0
Uruguay,URY,2021-03-05,0,,,,,,,1.56,0,4.13,,,,4.97,,,,3.75,,,,1.53,0
Uruguay,URY,2021-03-06,0,,,,,,,1.56,0,4.13,,,,4.97,,,,3.75,,,,1.53,0
Uruguay,URY,2021-03-07,0,,,,,,,1.56,0,4.13,,,,4.97,,,,3.75,,,,1.53,0
Uruguay,URY,2021-03-08,0,,,,,,,1.6,0,4.29,,,,5.15,,,,3.88,,,,8.2,0
Uruguay,URY,2021-03-09,0.01,,,,,,,1.7,0,4.53,,,,5.42,,,,4.1,,,,12.86,0
Uruguay,URY,2021-03-10,0.01,,,,,,,1.86,0.01,4.91,,,,5.81,,,,4.46,,,,17.84,0
Uruguay,URY,2021-03-11,0.01,,,,,,,2.07,0.04,5.71,,,,6.37,,,,4.89,,,,21.26,0
Uruguay,URY,2021-03-12,0.03,,,,,,,2.21,0.2,7.01,,,,7.91,,,,5.98,,,,22.06,0
Uruguay,URY,2021-03-13,0.04,,,,,,,2.27,0.31,7.61,,,,8.6,,,,6.43,,,,22.48,0
Uruguay,URY,2021-03-14,0.04,,,,,,,2.27,0.31,7.61,,,,8.6,,,,6.43,,,,22.48,0
Uruguay,URY,2021-03-15,0.05,,,,,,,2.33,0.89,8.27,,,,9.04,,,,6.74,,,,23.22,0
Uruguay,URY,2021-03-16,0.37,,,,,,,2.35,1.43,8.6,,,,9.13,,,,6.79,,,,23.77,0
Uruguay,URY,2021-03-17,0.59,,,,,,,2.46,2.02,8.93,,,,9.24,,,,6.99,,,,24.36,0
